Home,xG_home,Score,xG_away,Away,PC1_home,PC2_home,PC3_home,PC4_home,PC5_home,PC6_home,PC7_home,PC8_home,PC9_home,PC10_home,PC11_home,PC12_home,PC13_home,PC1_away,PC2_away,PC3_away,PC4_away,PC5_away,PC6_away,PC7_away,PC8_away,PC9_away,PC10_away,PC11_away,PC12_away,PC13_away,result
Liverpool,2.2,4–2,1.7,Bournemouth,0.9647987335037748,1.493077242847829,-0.21873501225906536,0.37541891737990046,-0.6157279543181954,-0.15564108998865855,-0.09956794241808581,-0.04699667393438337,0.4483060319118338,0.12419779876350287,0.12348944517426101,-0.20833252678965447,0.3235416827774395,1.051481291956892,-0.4664156340413086,-0.2779039062455831,0.5719033679430349,-0.4288417113308117,-0.6589356351768477,-0.18365670041523124,-0.05645352765371869,-0.22836506464938144,0.2627828404325918,-0.0073274599822543245,0.09273774207043595,0.07533431326942966,1
Aston Villa,0.2,0–0,1.4,Newcastle,1.1867584751139606,1.6106962195188388,-0.14897680932696483,0.21163585178064462,-0.8737651077408598,0.0848700471226871,-0.18153069883755213,0.37947148989841534,-0.14305148765578926,0.18148925676502486,-0.02159497651037584,-0.16130599216882852,0.17937263359676772,-0.19209001233516024,1.5010028442656143,0.10147525996021596,0.13336376781312662,-0.1893148272516996,0.214330779261548,-0.08370029628675495,-0.18713959114186532,-0.08734516966371436,-0.3087604518396598,0.1723460216767654,-0.40706297581470124,0.3313429971433203,0
Sunderland,0.7,3–0,0.6,West Ham,-0.17578112281799277,-0.15358843758482288,-0.3294351331903495,-0.19741698501077143,-0.2635579464018393,-0.17622849494761847,-0.007625660780786565,0.15028369722586377,-0.48074382745325517,0.1275868814943969,-0.2192623900582204,-0.012489434174088201,0.16635328122694834,-0.12772232653976429,2.0588214486648138,0.326676584696184,0.42489171107069496,-0.36513869225265977,-0.34786443302624104,0.2292108946805331,0.21491780205203462,-0.1992510000311533,-0.08586714898330401,-0.02421936673166542,0.013144653740014568,0.20024208170104044,1
Brighton,1.5,1–1,0.7,Fulham,-0.4743715665439672,0.825670149271741,-0.47067763577665955,-0.32019904202260363,-0.3405056765543747,-0.34950288811955993,0.012420146279589633,0.09271575674382353,0.06673990352962557,-0.13056291146205884,0.22523741892891663,-0.395123220725821,0.3462265324919927,0.4941417808189759,0.8153943705320863,0.09240081396441877,0.34712844294708145,-0.3099119524290058,0.3182540606253869,0.19969649875815326,0.31938813151454154,0.12094863288501165,0.06546345684747108,-0.29483795301055465,-0.06505162684886936,0.30606665338210537,0
Tottenham,2.3,3–0,0.9,Burnley,0.47898776290077316,1.8350545038058506,0.2083546577788905,0.6641185516488551,-0.7781937798935353,0.11786895192381644,-0.06150420152096956,0.42723833719406595,0.327540857641355,-0.19426866642409857,-0.08879571351961292,0.015425741039752834,-0.13420225361543497,-0.2835223398791787,0.15289498515260339,-0.07760087236962211,0.1763617634515702,-0.026394238831076333,-0.04496838227932087,0.10748863399156997,0.2640762532006206,-0.16248308237905237,-0.14014197573041637,0.2359993296197312,0.06824876856605946,0.24190790208169854,1
Wolves,0.6,0–4,2.4,Man City,-0.4443910947998023,-0.15444186719194083,0.2802548208178524,0.09224521542211753,-0.17019557254428436,0.3182836694452446,-0.026123459890784385,-0.09620197363988739,-0.3433266959525745,-0.04838631622368361,0.035775624484488275,-0.0997581757426779,-0.07824577831457716,1.022846165759791,2.7269010935070046,-0.17041278444366761,0.46793401788672506,-1.2006910003305624,-0.6508227974051927,-0.23476706254097462,0.16178622933814324,0.28095092872894556,-0.28279664993842674,0.07028651549181138,-0.05241479073878062,-0.013962040214417635,-1
Chelsea,1.6,0–0,0.6,Crystal Palace,0.855557008659962,1.0580886091954798,0.1188198700208511,0.9191092602929369,-0.9240864736700974,-0.14184168639748382,-0.1860456123259052,0.2909567461826219,0.25980744318166427,-0.47289041253063996,-0.025085930931232136,0.295389440985296,0.07829043020684677,-0.676729278172781,0.11149720507047789,-0.2040932668171237,-0.1796996470047724,-0.4981126385286987,-0.05463115918212483,-0.34921497205443874,0.03224261357841251,-0.029481523620399373,0.10122284592793078,-0.05524202740218044,0.18990634440526058,-0.06138816741256571,0
Nottm Forest,1.8,3–1,1.4,Brentford,0.321462881734643,0.2391495122034522,0.5560357191575416,0.2412807953199115,-0.5230049535386393,0.20907325021126158,-0.20551252024261557,0.00307446011992071,-0.2553679860363596,0.09602883441989292,-0.28017635698315735,-0.2119825316611705,0.04937857501246822,0.3847340199346881,0.4365925862149593,-0.034271735003704805,0.0978358565946323,-0.13348008410517673,0.06986592822583951,-0.1756621541819592,-0.06256943884867133,-0.04553495907994901,-0.17430717909867025,0.5062436460273325,0.08243337375522758,-0.12157364089251697,1
Man Utd,1.5,0–1,1.3,Arsenal,0.03413534922176358,1.9542728065422252,0.05964288009479474,0.07077221351349683,0.10847862990864883,-0.10194803154068914,-0.45238732683377086,-0.19757870072114944,0.2402260960634897,-0.005937960433856725,-0.34389251048560915,-0.3116787980158563,-0.09900459917152991,0.9554829623797279,3.304653312074534,0.28597354951684634,0.22850399273701089,-1.2312689405575101,-0.22875198250323248,-0.08802702782425129,0.22179694345556328,0.030954420992922182,-0.4064160109822558,0.1750315015001662,-0.1638082531921064,-0.24348893174272615,-1
Leeds,2.0,1–0,0.8,Everton,-0.3799271475974288,0.3519225469667396,0.2453616059832654,0.6356625255696381,0.2518191639152819,-0.21594186502232085,-0.0625479355297046,0.15726609166562044,-0.4353868584949294,-0.05817543872232649,-0.009239081376449309,-0.16844567130277285,0.3063609519450225,-0.8024943267235737,0.6306870521074421,0.16585673574411522,0.14383629793974692,-0.1534795909761651,-0.09609330637054422,-0.044530459756794795,0.19448608275748536,-0.2719014711336684,-0.1915169389173046,0.21399257478559278,-0.2318501589304268,0.18988627194197755,1
West Ham,0.7,1–5,2.7,Chelsea,-0.12772232653976429,2.0588214486648138,0.326676584696184,0.42489171107069496,-0.36513869225265977,-0.34786443302624104,0.2292108946805331,0.21491780205203462,-0.1992510000311533,-0.08586714898330401,-0.02421936673166542,0.013144653740014568,0.20024208170104044,0.855557008659962,1.0580886091954798,0.1188198700208511,0.9191092602929369,-0.9240864736700974,-0.14184168639748382,-0.1860456123259052,0.2909567461826219,0.25980744318166427,-0.47289041253063996,-0.025085930931232136,0.295389440985296,0.07829043020684677,-1
