Home,xG,Score,xG.1,Away
Liverpool,1.4,1–1,0.4,Sunderland
Leeds,2.3,3–1,0.9,Chelsea
Man Utd,1.8,1–1,0.8,West Ham
Aston Villa,2.1,2–1,1.9,Arsenal
Newcastle,1.8,2–1,1.6,Burnley
Man City,2.4,3–0,0.7,Sunderland
Tottenham,2.2,2–0,0.2,Brentford
Everton,1.1,3–0,0.5,Nottm Forest
Bournemouth,1.5,0–0,0.9,Chelsea
Leeds,1.6,3–3,1.9,Liverpool
Brighton,1.8,1–1,1.2,West Ham
Fulham,0.8,1–2,1.6,Crystal Palace
Wolves,0.6,1–4,4,Man Utd
Chelsea,2.2,2–0,1,Everton
Liverpool,1.8,2–0,1.9,Brighton
Burnley,2.4,2–3,2,Fulham
Arsenal,1.1,2–1,0.3,Wolves
Nottm Forest,1.9,3–0,0.4,Tottenham
West Ham,1,2–3,0.7,Aston Villa
Crystal Palace,1.9,0–3,1.2,Man City
Sunderland,0.3,1–0,0.2,Newcastle
Brentford,0.6,1–1,1.5,Leeds
Girona,0.6,1–3,3.4,Rayo Vallecano
Villarreal,2.4,2–0,0.9,Real Oviedo
Mallorca,0.2,0–3,2.1,Barcelona
Alavés,1.2,2–1,0.9,Levante
Valencia,2,1–1,0.8,Real Sociedad
Celta,0.7,0–2,1.4,Getafe
Athletic,2.8,3–2,1,Sevilla
Espanyol,1.3,2–1,1.1,Atlético
Elche,0.6,1–1,1.9,Real Betis
Real Madrid,1.6,1–0,0.4,Osasuna
Real Betis,1.9,1–0,1.1,Alavés
Mallorca,0.7,1–1,0.7,Celta
Atlético,1.7,1–1,0.6,Elche
Levante,1.8,2–3,1.9,Barcelona
Osasuna,0.8,1–0,0.4,Valencia
Villarreal,2.3,5–0,0.1,Girona
Real Sociedad,1.1,2–2,1.8,Espanyol
Real Oviedo,0.5,0–3,2.7,Real Madrid
Athletic,1.5,1–0,0.3,Rayo Vallecano
Sevilla,0.5,1–2,0.7,Getafe
Celta,0.8,1–1,0.3,Real Betis
Elche,1.1,2–0,0.7,Levante
Valencia,1.1,3–0,0.7,Getafe
Alavés,0.9,1–1,1,Atlético
Real Oviedo,0.5,1–0,1,Real Sociedad
Girona,2,0–2,1.3,Sevilla
Real Madrid,1.8,2–1,0.7,Mallorca
Celta,1,1–1,1,Villarreal
Real Betis,0.6,1–2,1.1,Athletic
Espanyol,1.2,1–0,1.4,Osasuna
Rayo Vallecano,1.8,1–1,1.8,Barcelona
Sevilla,0.4,2–2,1,Elche
Getafe,0.7,2–0,0.3,Real Oviedo
Real Sociedad,2.2,1–2,2.4,Real Madrid
Athletic,1.1,0–1,0.1,Alavés
Atlético,1,2–0,1,Villarreal
Celta,2.5,1–1,0.6,Girona
Levante,0.8,2–2,2.1,Real Betis
Osasuna,1.6,2–0,1.1,Rayo Vallecano
Barcelona,3.9,6–0,0.1,Valencia
Espanyol,2.4,3–2,2.2,Mallorca
Real Betis,2.3,3–1,0.8,Real Sociedad
Girona,0.5,0–4,2.9,Levante
Real Madrid,1.2,2–0,1,Espanyol
Alavés,1,1–2,0.5,Sevilla
Villarreal,2.4,2–1,1.8,Osasuna
Valencia,1.8,2–0,0.5,Athletic
Rayo Vallecano,1.1,1–1,0.9,Celta
Mallorca,0.6,1–1,2.2,Atlético
Elche,1.5,1–0,1.1,Real Oviedo
Barcelona,2,3–0,0.2,Getafe
Espanyol,2.5,2–2,0.8,Valencia
Athletic,1.5,1–1,0.8,Girona
Sevilla,1,1–2,1.9,Villarreal
Levante,1.6,1–4,3.9,Real Madrid
Getafe,0.3,1–1,0.6,Alavés
Atlético,3.5,3–2,1.6,Rayo Vallecano
Real Sociedad,2.7,1–0,0.7,Mallorca
Osasuna,0.9,1–1,0.8,Elche
Real Oviedo,1,1–3,2,Barcelona
Girona,1,0–0,1.1,Espanyol
Getafe,0.6,1–1,1.2,Levante
Atlético,2.3,5–2,0.7,Real Madrid
Mallorca,0.7,1–0,0.8,Alavés
Villarreal,1.2,1–0,1.3,Athletic
Rayo Vallecano,1.8,0–1,0.5,Sevilla
Elche,3.5,2–1,0.8,Celta
Barcelona,2.2,2–1,1,Real Sociedad
Real Betis,0.8,2–0,0.7,Osasuna
Valencia,1.5,1–2,0.8,Real Oviedo
Osasuna,0.4,2–1,0.9,Getafe
Real Oviedo,1.2,0–2,1.9,Levante
Girona,1,2–1,1.1,Valencia
Athletic,2,2–1,0.4,Mallorca
Real Madrid,3.4,3–1,1,Villarreal
Alavés,2.2,3–1,0.4,Elche
Sevilla,2.8,4–1,2.2,Barcelona
Espanyol,2.3,1–2,1.3,Real Betis
Real Sociedad,0.8,0–1,0.8,Rayo Vallecano
Celta,1.9,1–1,0.4,Atlético
Real Oviedo,0.8,0–2,3.7,Espanyol
Sevilla,1.3,1–3,1.9,Mallorca
Barcelona,1.6,2–1,1.7,Girona
Villarreal,0.7,2–2,1.2,Real Betis
