Home,xG,Score,xG.1,Away
Borussia M'gladbach,0.8,1–3,1.7,Wolfsburg
St. Pauli,0.8,2–1,2.4,Heidenheim
Eintracht Frankfurt,1.1,1–0,0.6,Augsburg
Bayer Leverkusen,2.1,2–0,0.1,Köln
Freiburg,1.5,1–1,1,Borussia Dortmund
FC Bayern,4.4,2–2,0.5,Mainz
Werder Bremen,0.9,0–4,2.1,Stuttgart
Rennes,1.5,1–0,1.7,Marseille
Lens,1.4,0–1,1.4,Lyon
Monaco,1.8,3–1,0.6,Havre AC
Nice,0.8,0–1,0.6,Toulouse
Brest,1.9,3–3,1.6,Lille
Angers,1,1–0,0.9,Paris FC
Metz,0.3,0–1,0.6,Strasbourg
Auxerre,1.3,1–0,1.3,Lorient
Nantes,0.1,0–1,1.4,PSG
PSG,1.8,1–0,0.2,Angers
Marseille,2.3,5–2,1.1,Paris FC
Nice,1.9,3–1,1.5,Auxerre
Lyon,2.8,3–0,0.6,Metz
Lorient,2.9,4–0,0.1,Rennes
Toulouse,1.3,2–0,0.9,Brest
Havre AC,1.7,1–2,1.1,Lens
Strasbourg,1.8,1–0,0.4,Nantes
Lille,2.9,1–0,1.2,Monaco
Lens,3.8,3–1,1.1,Brest
Lorient,1.1,1–7,3.5,Lille
Nantes,0.5,1–0,0.7,Auxerre
Toulouse,2.2,3–6,2.6,PSG
Angers,1.2,1–1,1.5,Rennes
Havre AC,2.6,3–1,0.6,Nice
Monaco,1.9,3–2,1.6,Strasbourg
Paris FC,3.2,3–2,1.8,Metz
Lyon,2.3,1–0,0.8,Marseille
Marseille,2.2,4–0,0.1,Lorient
Nice,1.7,1–0,0.8,Nantes
Auxerre,0.9,1–2,1.4,Monaco
Lille,2.1,2–1,0.8,Toulouse
Metz,1.7,1–1,2.4,Angers
Brest,2.5,1–2,1.6,Paris FC
PSG,1.1,2–0,1.5,Lens
Strasbourg,1.4,1–0,0.6,Havre AC
Rennes,2.1,3–1,1.7,Lyon
Lyon,1.8,1–0,1,Angers
Nantes,2,2–2,1.4,Rennes
Brest,2,4–1,2.3,Nice
Lens,3.6,3–0,1.8,Lille
Paris FC,1.6,2–3,2,Strasbourg
Auxerre,0.7,1–0,2.2,Toulouse
Monaco,3.5,5–2,2.2,Metz
Havre AC,2.3,1–1,1.2,Lorient
Marseille,1.1,1–0,0.7,PSG
Strasbourg,1.4,1–2,2,Marseille
Lorient,1.9,3–1,1,Monaco
Toulouse,2,2–2,1.2,Nantes
PSG,1.7,2–0,0.7,Auxerre
Nice,1,1–1,1.8,Paris FC
Metz,0.5,0–0,0.3,Havre AC
Lille,1.5,0–1,0.5,Lyon
Angers,0.5,0–2,1.5,Brest
Rennes,1.2,0–0,1,Lens
Paris FC,1,2–0,0.7,Lorient
Metz,0.1,0–3,2.7,Marseille
Brest,1.5,0–0,0.2,Nantes
Auxerre,1.7,1–2,0.4,Lens
Lyon,1.2,1–2,1.2,Toulouse
Strasbourg,4.6,5–0,0.3,Angers
Monaco,2.9,2–2,1.1,Nice
Havre AC,1.7,2–2,1,Rennes
Lille,0.5,1–1,1.5,PSG
PSG,2.7,3–3,2.3,Strasbourg
Nice,0.7,3–2,3.3,Lyon
Angers,1.8,1–1,1.9,Monaco
Marseille,4.2,6–2,0.5,Havre AC
Lens,1.6,2–1,0.5,Paris FC
Rennes,2,2–2,1.5,Auxerre
Lorient,1.2,3–3,1.6,Brest
Toulouse,2.5,4–0,0.1,Metz
Nantes,0.6,0–2,2.5,Lille
Paris FC,1.2,1–2,0.9,Nantes
Brest,1.6,0–3,2,PSG
Monaco,2.9,1–0,0.7,Toulouse
Lens,1.8,2–1,0.7,Marseille
Lille,2.9,6–1,1.3,Metz
Auxerre,0.6,0–1,1.2,Havre AC
Angers,1.1,2–0,1.9,Lorient
Rennes,1.7,1–2,0.7,Nice
Lyon,1.7,2–1,0.5,Strasbourg
Metz,3.3,2–0,1.3,Lens
Lorient,0.3,1–1,1.4,PSG
Havre AC,1,1–0,0.6,Brest
Nice,1.7,2–0,1,Lille
Strasbourg,3.9,3–0,0.4,Auxerre
Marseille,1.3,2–2,1,Angers
Nantes,1.6,3–5,4.3,Monaco
Paris FC,0.6,3–3,1.3,Lyon
Toulouse,1.5,2–2,1.6,Rennes
PSG,2.2,1–0,0.4,Nice
Monaco,0.8,0–1,1,Paris FC
Auxerre,1.2,0–1,0.5,Marseille
Rennes,2.3,4–1,1.6,Strasbourg
Lille,2,1–0,0.4,Angers
Nantes,0.9,0–2,1.3,Metz
Lens,2.1,3–0,1.8,Lorient
Toulouse,1.1,0–0,1.5,Havre AC
Brest,1.5,0–0,0.2,Lyon
Paris FC,1.9,0–1,1.1,Rennes
Marseille,3.5,3–0,0.9,Brest
Havre AC,0.9,1–1,0.2,Nantes
Monaco,2.6,1–4,3.1,Lens
Lorient,1.3,1–1,1.3,Toulouse
Strasbourg,0.9,2–0,0.3,Lille
Angers,0.6,2–0,0.7,Auxerre
Metz,1.6,2–1,0.9,Nice
Lyon,0.7,2–3,1.4,PSG
Nice,1.2,1–5,2.8,Marseille
Lens,1.9,1–0,0.6,Strasbourg
Rennes,3.7,4–1,1.4,Monaco
PSG,3.4,3–0,1.3,Havre AC
Auxerre,2,0–0,1.6,Lyon
Toulouse,1.9,0–1,0.4,Angers
Brest,3.1,3–2,1,Metz
Nantes,0.8,1–1,0.3,Lorient
Lille,3.9,4–2,1.5,Paris FC
Metz,1,0–1,0.8,Rennes
Monaco,0.6,1–0,1.3,PSG
Paris FC,1.8,1–1,1.1,Auxerre
Marseille,1.8,2–2,0.7,Toulouse
Strasbourg,0.8,1–2,1.1,Brest
Lorient,2.3,3–1,0.9,Nice
Havre AC,1.2,0–1,1.5,Lille
Angers,1.3,1–2,1.9,Lens
Lyon,2.3,3–0,1,Nantes
Brest,1.5,1–0,0.6,Monaco
Lille,0.3,1–0,0.5,Marseille
Nantes,1.2,1–2,2.3,Lens
Toulouse,0.5,1–0,0.1,Strasbourg
PSG,2.2,5–0,0.2,Rennes
Nice,1.3,0–1,0.9,Angers
Havre AC,1.8,0–0,1.2,Paris FC
Auxerre,1.9,3–1,0.6,Metz
Lorient,2.5,1–0,0.4,Lyon
Angers,2.2,4–1,0.4,Nantes
Rennes,2.2,3–1,0.8,Brest
Metz,0.6,2–3,1.8,PSG
Paris FC,0.5,0–3,2.5,Toulouse
Lyon,2.5,1–0,1.4,Havre AC
Lens,1.6,2–0,0.8,Nice
Auxerre,2.7,3–4,0.5,Lille
Strasbourg,0.7,0–0,0.5,Lorient
Marseille,1.8,1–0,2.2,Monaco
